arabic,english
لا تنس أغراضك.,Don't forget your things.
انس ما قلته لك للتّو.,Forget what I just told you.
لقد بدأت بنسيان وجه جدّتي.,I am already forgetting my grandmother's face.
لقد أصبحت كثير النّسيان.,I'm becoming forgetful.
أعلم أنّني لن أنساك أبدا.,I know that I'll never forget you.
لا يجب أن تنسى أنّها يافعة مثلك.,You must not forget that she is as young as you.
لا تنس إدخال الكلب.,Don't forget to let the dog in.
لننسى الأمر.,Let's forget about that.
لن أنس أبدا التّجربة التي عشتها البارحة.,I'll never forget the experience I had yesterday.
لننسى أنّ شيئا كهذا قد حصل.,Let's forget that this whole thing happened.
لا تنس مطرّيتك.,Don't forget your umbrella.
لا تنس أنّه يجب أن تشتري قليلا من البصل.,Don't forget that you need to buy some onions.
انس أنّني قلت ذلك.,Forget I said that.
الوقت ينتظر و الوقت ينسى.,Time waits and time forgets.
لا تنس أبدا إقفال الباب.,Never forget to lock the door.
لا تنس الكتابة بالأحرف الكبيرة.,Please do not forget capital letters.
أنت دائما ما تنسى إسمي.,You always forget my name.
من الصّعب نسيان ما حدث.,It's hard to forget what happened.
ماذا نسيت؟,What did you forget?
كان إهمالا منها أن تنسى.,It was careless of her to forget it.
أتنسى عادة القيام بواجبات؟,How often do you forget to do your homework?
سامح الجميع لكن لا تنس شيئا.,"Forgive everyone, forget nothing."
لن ينس سامي ذلك أبدا.,Sami will never forget that.
لا أحد ينسى بلدي.,Nobody forgets my country.
من فضلك، لا تنس ما تحدّثنا عنه.,Please don't forget what we discussed.
أودّ أن أنسى كلّ شيء.,I'd like to forget the whole thing.
هل نسيت تشميع الأرضيّة مجدّدا؟,Did you forget to wax the floor again?
هل نسيت الإمضاء مجدّدا؟,Did you forget to sign your name again?
لا تنس شراء الخبز!,Don't forget to buy bread!
أنا دائما ما أنسى الأسماء.,I am constantly forgetting names.
هل نسيت شيئا؟,Am I forgetting something?
لا تنس أن تأخذ أغراضك معك.,Don't forget to take your things with you.
لن يكون من السّهل نسيانك.,It won't be easy to forget you.
لا تنس أن تسجّل الوقت عند مغادرتك للعمل.,Don't forget to clock out before you leave work.
آمل أن لا تنس القيام بذلك.,I hope you don't forget to do that.
لا تنس إخراج القمامة.,Don't forget to take out the garbage.
تذكّر إنسانيّتك و انس الباقي.,"Remember your humanity, and forget the rest."
لم أنسك.,I'm not forgetting about you.
من الأرجح أن ينسوا وعودهم.,They're likely to forget their promises.
هي قادرة على نسيان وعودها.,She's apt to forget her promise.
لا تنس أنّني رجل.,Do not forget that I am a man.
لم أنس.,I didn't forget.
انس أمرهم.,Forget about them.
لن أنس أبدا القيام بذلك.,I'll never forget doing this.
هل نسينا مالنا؟,Did we forget our money?
لن أنس مدى مساعدتك لي.,I'll never forget how helpful you've been.
لن أنس مراسلة أمّي.,I will not forget to write to my mother.
لا تنس أنّه توجد حالات استثنائيّة.,Don't forget that there are exceptions.
سأخبرها إن لم أنس.,"I'll tell her, if I don't forget."
فقط كنت أريد أن أنسى.,I only wanted to forget.
لا يمكنني نسيان وجه تانينّا.,I cannot forget Taninna's face.
انس ما يحزنك.,Forget your sorrows.
علمت أنّك لن تنساها.,I knew you wouldn't forget her.
بدأ سامي ينسى الأمر.,Sami started forgetting about it.
غالبا ما أنسى أن أفرش أسناني.,I often forget to brush my teeth.
لا تنس تقديم الأكل للكلب.,Don't forget to feed the dog.
هذا شيء لن أنساه أبدا.,That's something I'll never forget.
لن أنس أبدا ما فعلته من أجلي.,I'll never forget what you did for me.
لا تنس ما قلته لك للتّو.,Don't forget what I just told you.
لننسى الأمر.,Let's forget about this.
لن أنسها أبدا.,I'll never forget her.
لا تنس معاينة الدّواليب.,Don't forget to check the tires.
لا تنس أن تأخذ كاميرا معك.,Don't forget to take a camera with you.
كنت كثير النّسيان.,I used to be forgetful.
لن أنساه أبدا.,I'll never ever forget him.
لننسى كلّيّة ما حدث اللّيلة الماضية.,Let's forget last night ever happened.
لا تنس أنّ ليلى ابنة أخي أيضا.,Don't forget that Layla is also my niece.
لا تنس أن تتّصل بي اللّيلة.,Don't forget to call me tonight.
لن تنس ذلك.,She won't forget this.
لا تنس أن تحضر ساندويشا من فضلك.,Please don't forget to bring a sandwich.
انس ذلك. هذا خطير للغاية.,Forget it. It's too risky.
لم أنس كلامك.,I didn't forget your words.
هل نسي ماله مجدّدا؟,Did he forget his money again?
أنا أنسى رقم هاتفك.,I forget your telephone number.
لا تنس الاتّصال بنا.,Don't forget to call us.
لا أعتقد أنّني سأنساك.,I don't think I can ever forget you.
هل نسيت تحيّتي؟,Did you forget to greet me?
لننسى ذلك، اتّفقنا؟,"Let's forget this, OK?"
لن ننساهم.,We won't forget them.
هذا جيّد، لكنّك نسيت شيئا.,"That's fine, but you're forgetting something."
لا تنسانا.,Don't forget us.
لن أنساهم أبدا.,I'll never forget them.
لن أنس أبدا ما قلته لي.,I'll never forget what you told me.
لا تنس أن تفكّر قبل بدأ الحديث.,Don't forget to think before speaking.
لا تنس أن تضيف ذلك لبرنامجك.,Don't forget to put it on your schedule.
انسى كلّ ما قلته!,Forget everything I said!
أرجّح أنّي سأنسى ذلك.,I'm likely to forget to do that.
لا تنس!,Don't forget!
لا تنس ترك إكراميّة.,Don't forget to leave a tip.
لا تنس نقودك.,Don't forget your money.
لننس ما حدث اللّيلة الماضية.,Let's forget about what happened last night.
لا تنس الوصل.,Don't forget the receipt.
لن أنس هذا أبدا.,I will never forget this.
لن أنس أبدا المرّة الأولى التي رأيتك فيها.,I'll never forget the first time I saw you.
هل نسيت محفظتك مرّة أخرى؟,Did you forget your wallet again?
انسني.,Forget me.
ليتني كنت قادرا على نسيان تلك الحادثة.,I wish I could forget about that incident.
هذا ليس شيئا ينساه المرأ.,That's not something you forget.
لا تنس ذلك.,Don't forget that.
أنت كثير النّسيان، أليس كذلك؟,"You're quite forgetful, aren't you?"
في كلّ مرّة أخرج، أنسى شيئا. دائما!,"Every time I go out, I forget something. Always!"
بإمكاننا المسامحة، لكن من المستحيل أن ننسى.,"We can forgive, but forgetting, it's impossible."
لن أنس أبدا لطفك.,I'll never forget your kindness.
كيف لي أن أنسى شيئا كهذا؟,How could I forget something like that?
لا تنس أن تبعث الرّسائل من مركز البريد.,Don't forget to mail the letters.
لا تنس أن تبعث الرّسائل.,Don't forget to mail the letters.
لن ينساها أحد.,No one will ever forget her.
لا ينس الله شيئا، و لو كان عملا صالحا صغيرا.,God never forgets even a small kindness.
ذكّرني كي أجدّد جواز سفري.,Don't forget to remind me to renew my passport.
لا يمكنني أن أنسى اليوم الذي قابلته فيه.,I can't forget the day when I met him.
لا أريدك أن تنساني.,I don't want you to forget about me.
لننسى ذلك.,Let's forget it.
من الأرجح أنّني لن أنس ذلك.,I'm not likely to forget to do that.
لا تنس ذلك أبدا.,Never forget that.
إن لم تذكّرني، فسأنسى.,"If you don't remind me, I'll forget."
لا تنسه أبدا.,Don't ever forget it.
أنا أقوم بكل ما بوسعي لأنسى أنّ ذلك قد حدث.,I'm trying my best to forget that ever happened.
يقولون أنّهم ينسون كثيرا.,They say that they often forget things.
أعدك أنّني لن أنس القيام بذلك.,I promise that I won't forget to do that.
هل يمكننا أن ننسى أن ذلك قد حدث؟,Can we forget that that just happened?
أريد أن أنساها.,I want to forget her.
هل بإمكاننا أن ننسى ذلك؟,Can we forget about that?
حاولت أن أنسى أنّها قد بكيت.,I tried to forget that she had cried.
كيف لي لأنسى تلك اللّحظات؟,How can I ever forget those moments?
لم أنسك.,I didn't forget you.
هو لا ينس أبدا دفع إيجاره.,He never forgets to pay his rent.
لننسى الماضي.,Let's forget about the past.
لن أنس ذلك اليوم أبدا.,I won't forget that day.
لم يعرفوا أين يعلّقون معاطفهم.,They wondered where to hang their coats.
أين هو الفرق؟,Where is the difference?
أين كنتم جميعكم؟,Where were all of you?
أين هي كانبيرا؟,Where is Canberra?
كان سامي يحتفل.,Sami was partying.
أفسد سامي الحفل.,Sami ruined the party.
خرج سامي ليحتفل.,Sami went out partying.
كان الحفل جيّدا للغاية.,The party was so good.
كان سامي في حفل.,Sami was at a party.
كان فاضل في حفل.,Fadil was at a party.
لم يعجب الحفل سامي.,Sami hated the party.
ألغى سامي حفله.,Sami canceled his party.
كان سامي يعتبر حياته ممتعة.,Sami thought life was good.
حوّل سامي حياتي إلى جحيم.,Sami made my life a living hell.
اتّخذت ليلى بعض القرارات السّيّئة في حياتها.,Layla made some terrible decisions in her life.
كانت حياة سامي عاديّة للغاية.,Sami's life was very ordinary.
كان ذلك حلم حياته.,That was his life's dream.
لدينا الكثير من الحياة النّباتيّة هنا.,We have an abundance of plant life here.
روى سامي قصّة حياته لليلى.,Sami told Layla about his life.
إنّ الحياة في الضّفية الغربية و غزّة ليست بالممتعة أبدا بالنّسبة للفلسطينيّين.,Life in the West Bank and Gaza isn't fun at all for the Palestinians.
